feature,importance
year,0.0023320503532886505
duration,0.001710401731543243
votes,0.025173716247081757
budget,0.08047299087047577
day,0.002320914762094617
language_Spanish,0.001426637638360262
language_French,0.0063761998899281025
language_Russian,0.0010816449066624045
language_German,0.0017077333759516478
language_Italian,0.0019536667969077826
language_Japanese,0.0009405151358805597
language_Mandarin,0.002991234650835395
language_Arabic,0.009698712266981602
language_Korean,0.0021639089100062847
language_Cantonese,0.00034388259518891573
language_Latin,0.0014931850600987673
language_Hindi,0.00456585269421339
language_Hebrew,0.000276120932539925
language_Ukrainian,0.000405547849368304
language_Greek,0.0006859557470306754
language_Hungarian,0.0006295062485150993
language_Vietnamese,0.0010458050528541207
language_Afrikaans,0.024645082652568817
language_Romanian,0.002220697235316038
language_Danish,0.000737550319172442
genre_Drama,0.005203110631555319
genre_Comedy,0.004523396026343107
genre_Action,0.0008400340448133647
genre_Crime,0.0010045560775324702
genre_Romance,0.0032780207693576813
genre_Adventure,0.02713063918054104
genre_Thriller,1.4749575711903162e-05
genre_Horror,0.002368304878473282
genre_Mystery,0.0004733360547106713
genre_Fantasy,0.0013677064562216401
genre_Sci-Fi,0.003786752698943019
genre_Family,0.0031303379219025373
genre_Biography,0.0002748029073700309
genre_Animation,0.022773103788495064
genre_History,0.0010123933898285031
genre_Music,0.0015840042615309358
genre_War,0.0003314474888611585
genre_Musical,0.0037650451995432377
country_UK,0.001892801490612328
country_France,0.0002566389739513397
country_Canada,0.000643018342088908
country_Germany,0.00318543310277164
country_China,0.003045172430574894
country_Japan,0.0017099969554692507
country_Australia,0.008186127059161663
country_Italy,0.0006431994843296707
country_Spain,0.0008005407289601862
country_India,0.0026368508115410805
country_South Africa,0.012499524280428886
director_Woody Allen,0.0007384944474324584
director_Steven Spielberg,0.010023714043200016
director_Martin Scorsese,0.002320237923413515
director_Ron Howard,0.0015947544015944004
director_Tim Burton,0.0013254910008981824
director_Rob Reiner,0.0007045704405754805
director_Joel Coen,0.0005743323126807809
director_John Carpenter,0.0006846849573776126
director_Robert Rodriguez,0.010276936925947666
director_Mike Nichols,0.0004277075931895524
director_Richard Linklater,0.0005935429944656789
director_John Landis,0.00042078029946424067
director_Ivan Reitman,0.0015770283062011003
director_Sam Raimi,0.0006982707418501377
