feature,importance
year,352
duration,327
votes,529
budget,375
day,289
language_English,41
language_Spanish,5
language_French,4
language_Russian,5
language_German,4
language_Italian,2
language_Japanese,6
language_Mandarin,5
language_Arabic,10
language_Korean,8
language_Cantonese,11
language_Turkish,10
language_Latin,6
language_Hindi,15
language_Hebrew,6
language_Chinese,2
language_Hungarian,5
language_Afrikaans,5
language_Danish,4
genre_Drama,66
genre_Comedy,35
genre_Action,56
genre_Crime,27
genre_Romance,22
genre_Adventure,25
genre_Thriller,23
genre_Horror,59
genre_Mystery,14
genre_Fantasy,24
genre_Sci-Fi,32
genre_Family,25
genre_Biography,22
genre_Animation,56
genre_History,7
genre_Music,9
genre_Sport,5
genre_War,2
genre_Musical,8
country_USA,44
country_UK,19
country_France,12
country_Canada,5
country_Germany,6
country_China,6
country_Japan,11
country_Russia,21
country_Mexico,2
country_Hong Kong,6
country_Spain,4
country_India,11
country_South Korea,10
country_Belgium,3
country_Turkey,19
country_Ireland,8
country_South Africa,9
country_New Zealand,11
director_Woody Allen,16
company_Warner Bros.,3
company_Columbia Pictures,8
company_Paramount Pictures,2
company_Twentieth Century Fox,2
company_New Line Cinema,7
company_Walt Disney Pictures,5
company_DreamWorks,2
company_Screen Gems,3
company_Lionsgate,3
company_Dimension Films,3
company_Castle Rock Entertainment,4
company_Revolution Studios,11
company_Regency Enterprises,7
actor_Nicolas Cage,5
actor_Bruce Willis,3
actor_Gene Hackman,2
actor_Sylvester Stallone,6
actor_Jeff Bridges,2
actor_John Cusack,2
actor_Dennis Quaid,3
actor_John Travolta,12
actor_Denzel Washington,3
actor_Forest Whitaker,3
actor_Eddie Murphy,4
actor_Willem Dafoe,3
actor_Keanu Reeves,2
actor_Danny DeVito,5
actor_Tommy Lee Jones,4
actor_Ed Harris,4
actor_Antonio Banderas,4
actor_Brad Pitt,6
actor_Al Pacino,4
actor_Sean Connery,2
actor_Richard Gere,3
actor_Kurt Russell,4
actor_Ben Kingsley,4
actor_Adam Sandler,2
actor_Burt Reynolds,4
actor_Jean-Claude Van Damme,8
actor_Sandra Bullock,7
actor_James Franco,6
actor_Christopher Plummer,3
actor_Dan Aykroyd,7
actor_Bill Murray,2
actor_Jeff Daniels,2
actor_Angelina Jolie,5
actor_Andy Garcia,4
actor_Ben Affleck,7
actor_Will Smith,2
actor_Alfred Molina,2
actor_Richard Dreyfuss,4
actor_Catherine Keener,3
