year,duration,votes,budget,day,language_English,language_Spanish,language_French,language_Russian,language_German,language_Italian,language_Japanese,language_Mandarin,language_Arabic,language_Korean,language_Latin,language_Hindi,language_Portuguese,language_Hebrew,language_Greek,language_Thai,language_Vietnamese,genre_Drama,genre_Comedy,genre_Action,genre_Crime,genre_Romance,genre_Adventure,genre_Thriller,genre_Horror,genre_Mystery,genre_Fantasy,genre_Sci-Fi,genre_Family,genre_Biography,genre_Animation,genre_Music,genre_Musical,country_USA,country_UK,country_France,country_Canada,country_Germany,country_China,country_Japan,country_Australia,country_Hong Kong,country_Italy,country_India,country_New Zealand,country_Denmark,director_Woody Allen,director_Clint Eastwood,director_Steven Spielberg,director_Martin Scorsese,director_Ridley Scott,director_Brian De Palma,director_Rob Reiner,director_Joel Coen,director_Roland Emmerich,writer_John Hughes,writer_Luc Besson,writer_Robert Mark Kamen,company_Universal Pictures,company_Warner Bros.,company_Columbia Pictures,company_Paramount Pictures,company_Twentieth Century Fox,company_New Line Cinema,company_Touchstone Pictures,company_Walt Disney Pictures,company_Screen Gems,company_Summit Entertainment,company_Fox 2000 Pictures,company_Focus Features,company_Hollywood Pictures,company_United Artists,company_The Weinstein Company,company_Walt Disney Animation Studios,company_Walt Disney Productions,actor_Robert De Niro,actor_Nicolas Cage,actor_Bruce Willis,actor_Woody Harrelson,actor_Jeff Bridges,actor_Johnny Depp,actor_Harrison Ford,actor_John Travolta,actor_Meryl Streep,actor_Tom Cruise,actor_Eddie Murphy,actor_Matt Damon,actor_John Goodman,actor_Antonio Banderas,actor_Julia Roberts,actor_Brad Pitt,actor_Ewan McGregor,actor_Cate Blanchett,actor_Al Pacino,actor_Michelle Pfeiffer,actor_Scarlett Johansson,actor_Richard Gere,actor_Ben Kingsley,actor_Adam Sandler,actor_Kevin Bacon,actor_Arnold Schwarzenegger,actor_Michael Douglas,actor_Michael Keaton,actor_Christian Bale,actor_Pierce Brosnan,actor_Sandra Bullock,actor_Charlize Theron,actor_James Franco,actor_Dustin Hoffman,actor_Gary Oldman,actor_John C. Reilly,actor_Ben Stiller,actor_Jack Black,actor_Will Ferrell,actor_Dwayne Johnson,actor_James Woods,actor_Ben Affleck,actor_Russell Crowe,actor_Drew Barrymore,actor_Will Smith,actor_Kate Winslet,actor_Steve Carell,actor_Jeff Goldblum,actor_Sigourney Weaver,actor_Diane Lane,actor_Cameron Diaz,actor_Rosario Dawson,actor_Jake Gyllenhaal,actor_Kevin Kline,actor_Steve Buscemi,actor_Ralph Fiennes,actor_Mark Ruffalo,actor_Robert Redford,actor_Joaquin Phoenix,actor_Vincent D'Onofrio,actor_Leonardo DiCaprio,actor_Paul Rudd,actor_Bradley Cooper,actor_Hugh Jackman,actor_Jennifer Lopez,actor_Jim Broadbent,actor_Guy Pearce,actor_Seth Rogen,actor_Anna Kendrick,actor_William Hurt,actor_Ron Perlman,actor_Tim Robbins,actor_Jennifer Connelly,actor_Renée Zellweger,actor_Joseph Gordon-Levitt,actor_Jude Law,actor_Paul Walker,actor_Vin Diesel,actor_Amy Adams,actor_Jamie Lee Curtis,actor_Demi Moore,actor_Tom Wilkinson,actor_Katie Holmes,actor_Channing Tatum,actor_Bill Pullman,actor_Casey Affleck,actor_Edward Norton,actor_Justin Long,actor_Chris Hemsworth,actor_Kathy Bates,actor_Martin Lawrence,actor_Kristen Stewart,actor_Michael Fassbender,actor_Will Arnett,actor_Bette Midler,actor_Frances McDormand,actor_Whoopi Goldberg,actor_Stephen Lang,actor_Jim Caviezel,actor_Ryan Gosling,actor_Kevin Hart,actor_Maggie Smith,actor_Ian McKellen,actor_Jada Pinkett Smith,actor_Daniel Craig,actor_Clive Owen,actor_Zoe Saldana,actor_Shia LaBeouf,actor_Zac Efron,actor_Malcolm McDowell,actor_Barbara Hershey,actor_Christopher McDonald,actor_Helen Hunt,actor_Jonah Hill,actor_Michael Shannon,actor_Goldie Hawn,actor_Alfre Woodard,actor_Regina Hall,actor_Chris Pratt,actor_Nicholas Hoult,actor_Kristen Bell
1920,76,55601,18000,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,150,3058,800000,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,68,109038,250000,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,82,4735,351000,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,95,97480,923000,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,94,46069,200000,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,63,6992,217000,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,144,11139,2000000,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,72,27414,900000,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,116,838,980000,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
